ik14,canon_smiles,cmax_mg_L,dose_mg,n_records,n_sources,cmax_per_dose,log_cmax_per_dose
ITIXDWVDFFXNEG,NCCCC[C@H](NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N1CCC(N2Cc3ccccc3NC2=O)CC1)C(=O)N1CCN(c2ccncc2)CC1,0.2087184,2.5,1,1,0.08348736,-1.0783792717952547
IVLVTNPOHDFFCJ,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.0024352602,1.6,3,1,0.0015220376249999998,-2.8175746116075535
JEAZNRBTCVFFMC,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21.N,0.030640607199999996,50.0,2,1,0.0006128121439999999,-3.2126726369460625
JFPVXVDWJQMJEE,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,25.999998715999997,1000.0,1,1,0.025999998715999995,-1.5850266734766485
JHVAMHSQVVQIOT,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,11.0000031525,100.0,1,1,0.110000031525,-0.9586071903769424
JLKIGFTWXXRPMT,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,39.9999987744,800.0,1,1,0.049999998468,-1.3010300089707643
JOOXLOJCABQBSG,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,0.9710018078,300.0,1,1,0.0032366726926666665,-2.4899012162464325
JORVRJNILJXMMG,Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,0.02657910992,800.0,2,1,3.32238874e-05,-4.4785495537751805
JQBKWZPHJOEQAO,Cc1oc(=O)oc1COC(=O)C1=C([C@H]2CCCO2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12,22.399998753600002,600.0,1,1,0.037333331256,-1.4279032562148672
JQXXHWHPUNPDRT,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,9.5999997825,200.0,23,12,0.047999998912499994,-1.3187587724638974
