canonical_smiles,name,log_vdss,ik14
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,Dronabinol,1.0,CYQFCXCEBYINGO
Nc1nc(=O)c2c([nH]1)N[C@@H]1O[C@@H]3COP(=O)(O)O[C@@H]3C(O)(O)[C@@H]1N2,Fosdenopterin,-0.5228787452803376,CZAKJJUNKNPTTO
OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,Vilanterol,0.37238590419964945,DAFYYTQWSAWIGS
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,Dexchlorpheniramine maleate,0.6614069923906152,DBAKFASWICGISY
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Finasteride,0.03571555226653449,DBEPLOCGEIEOCV
CCNC(C)Cc1cccc(C(F)(F)F)c1,Fenfluramine,1.0755469613925308,DBGIVFWFUFKIQN
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,Cefiderocol,-0.5898255349109508,DBPPRLRVDVJOCL
CC(O)(P(=O)(O)O)P(=O)(O)O,Etidronic acid,-0.09691001300805639,DBVJJBKOTRCVKF
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,Isavuconazole,0.8081144737610869,DDFOUSQFMYRUQK
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,Aripiprazole lauroxil,0.583036754014532,DDINXHAORAAYAD
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,Midazolam,0.21218760440395779,DDLIGBOFAVUZHB
C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,Ubrogepant,0.6989700043360189,DDOOFTLHJSMHLN
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,Dihydroergocristine,1.7160033436347992,DEQITUUQPICUMR
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,Selinexor,0.38021124171160603,DEVSOMFAQLZNKR
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,Iopromide,-0.640978057358332,DGAIEPBNLOQYER
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,Clonazepam,0.47712125471966244,DGBIGWXXNGSACT
O=S(O)(O)=S,Thiosulfuric acid,-0.6382721639824072,DHCDFWKWKRSZHF
CC(C)(N)Cc1ccccc1,Phentermine,0.6989700043360189,DHHVAGZRUROJKS
NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,Lonafarnib,0.1434609168643587,DHMTURDWPRKSOA
O=c1[nH]c(=O)n(C2CCCO2)cc1F.O=c1cc[nH]c(=O)[nH]1,Tegafur-uracil,-0.07424602837211264,DHMYGZIEILLVNR
CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,Cilastatin,-0.541901982593768,DHSUYTOATWAVLW
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,Lorazepam,0.11394335230683679,DIWRORZWFLOCLC
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,Flecainide,0.9637878273455552,DJBNUMBKLMJRSA
O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21,Vibegron,1.954518164467242,DJXRIQMCROIRCZ
O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,Tiludronic acid,-0.36797678529459443,DKJJVAGXPKPDRL
NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,Aprocitentan,-0.5440680443502757,DKULOVKANLVDEA
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,Dexketoprofen,-0.6020599913279624,DKYWVDODHFEZIM
CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Loteprednol etabonate,0.568201724066995,DMKSVUSAATWOCU
COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,Oliceridine,0.23408320603336796,DMNOVGJWPASQDL
CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C/C=C/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC,Midecamycin,0.8864907251724818,DMUAPQTXSSNEDD
CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,Daptomycin,-1.0,DOAKLVKFURWEDJ
