name,f_pct,raw,smiles
Levocarnitine,15.0,"absolute bioavailability is 15% (tablets or solution).
time to maximum plasma concentration was found to be 3.3 hours.",C[N+](C)(C)C[C@H](O)CC(=O)[O-]
Enalapril,40.0,"following oral administration, the peak plasma concentrations (cmax) of enalapril is achieved within 1 hour post dosing ",CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
Nizatidine,70.0,rapid (bioavailability of nizatidine exceeds 70%),CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
Fluticasone propionate,9.0,"intranasal bioavailability of fluticasone propionate is <2%, and oral bioavailability is <1%[f4358][fda label]. intranas",CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
Doxazosin,60.0,doxazosin is rapidly absorbed in the gastrointestinal tract and peak concentrations are achieved within 2-3 hours after ,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
Ethosuximide,93.0,bioavailability following oral administration is 93%.,CCC1(C)CC(=O)NC1=O
Labetalol,11.0,100mg and 200mg oral doses of labetalol have a t<sub>max</sub> of 20 minutes to 2 hours.[a181853] bioavailability may be,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
Linezolid,100.0,linezolid is extensively absorbed following oral administration and has an absolute bioavailability of approximately 100,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
Cisapride,40.0,"cisapride is rapidly absorbed after oral administration, with an absolute bioavailability of 35-40%.",COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC
Ethionamide,100.0,essentially completely absorbed following oral administration and not subjected to any appreciable first pass metabolism,CCc1cc(C(N)=S)ccn1
Butorphanol,70.0,rapidly absorbed after intramuscular injection and peak plasma levels are reached in 20-40 minutes. the absolute bioavai,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
Bisoprolol,90.0,bisoprolol is well absorbed in the gastrointestinal tract.[l7222] the bioavailability of bisoprolol is about 90% due to ,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
Rifabutin,20.0,"rifabutin is readily absorbed from the gastrointestinal tract, with an absolute bioavailability averaging 20%.",CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O
Imatinib,98.0,imatinib is well absorbed after oral administration with cmax achieved within 2-4 hours post-dose. mean absolute bioavai,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
Triamcinolone,25.0,a 16mg oral dose of triamcinolone reaches a c<sub>max</sub> of 5.23±0.84ng/ml with a t<sub>max</sub> of 2.24±0.78h and a,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
Nicardipine,35.0,"while nicardipine is completely absorbed, it is subject to saturable first pass metabolism and the systemic bioavailabil",COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
